 TIME                    	AmbientTemperature       	TotalSolarRadiation      	BeamSolarRadiation       	DiffuseSolarRadiation    	IncidentAngle            	
 HOURS              	°C                  	KJ/hr.m2            	KJ/hr.m2            	KJ/hr.m2            	Degree              	
  +8.7600000000000000E+03	  +1.8757867813110352E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7610000000000000E+03	  +4.2844090461730957E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7620000000000000E+03	  +6.0747399330139160E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7630000000000000E+03	  +5.6940102577209473E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7640000000000000E+03	  +5.3562502861022949E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7650000000000000E+03	  +5.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7660000000000000E+03	  +4.6000003814697266E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7670000000000000E+03	  +4.2437500953674316E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7680000000000000E+03	  +3.9046874046325684E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7690000000000000E+03	  +3.5328125953674316E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.5475616455078125E+01	
  +8.7700000000000000E+03	  +3.4645833969116211E+00	  +2.6716633737087250E+01	  +0.0000000000000000E+00	  +2.6195791244506836E+01	  +5.9245197296142578E+01	
  +8.7710000000000000E+03	  +4.6838541030883789E+00	  +6.1111152124404907E+02	  +2.7135800170898438E+02	  +3.3513104248046875E+02	  +5.0536121368408203E+01	
  +8.7720000000000000E+03	  +5.6478123664855957E+00	  +1.9035602235794067E+02	  +0.0000000000000000E+00	  +1.8664501953125000E+02	  +4.5000888824462891E+01	
  +8.7730000000000000E+03	  +6.1012501716613770E+00	  +5.9231896209716797E+02	  +1.8651174926757812E+02	  +3.9988262939453125E+02	  +4.3862514495849609E+01	
  +8.7740000000000000E+03	  +6.6762499809265137E+00	  +9.2315650415420532E+02	  +5.5099609375000000E+02	  +3.6578009033203125E+02	  +4.7439361572265625E+01	
  +8.7750000000000000E+03	  +6.9050002098083496E+00	  +3.9660745358467102E+02	  +1.3499708557128906E+02	  +2.5835510253906250E+02	  +5.4813884735107422E+01	
  +8.7760000000000000E+03	  +6.3850002288818359E+00	  +6.0112420558929443E+01	  +0.0000000000000000E+00	  +5.8940525054931641E+01	  +6.2944412231445312E+01	
  +8.7770000000000000E+03	  +5.9331250190734863E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7780000000000000E+03	  +5.7093749046325684E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7790000000000000E+03	  +5.4500002861022949E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7800000000000000E+03	  +5.1500000953674316E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7810000000000000E+03	  +4.8499999046325684E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7820000000000000E+03	  +4.6000003814697266E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7830000000000000E+03	  +4.3500003814697266E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7840000000000000E+03	  +4.0500001907348633E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7850000000000000E+03	  +3.7500002384185791E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7860000000000000E+03	  +3.4500000476837158E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7870000000000000E+03	  +3.1500000953674316E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7880000000000000E+03	  +2.8499999046325684E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7890000000000000E+03	  +2.5500001907348633E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7900000000000000E+03	  +2.2500002384185791E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7910000000000000E+03	  +1.9500001668930054E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7920000000000000E+03	  +1.6500000953674316E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7930000000000000E+03	  +1.3499996662139893E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.5530662536621094E+01	
  +8.7940000000000000E+03	  +1.8671432733535767E+00	  +4.4047149562835693E+02	  +2.6630752563476562E+02	  +1.7188528442382812E+02	  +5.9262500762939453E+01	
  +8.7950000000000000E+03	  +4.1359820365905762E+00	  +9.9482712602615356E+02	  +6.1884967041015625E+02	  +3.6907629394531250E+02	  +5.0523044586181641E+01	
  +8.7960000000000000E+03	  +5.6066966056823730E+00	  +9.6934969377517700E+02	  +5.5678192138671875E+02	  +4.0540618896484375E+02	  +4.4949771881103516E+01	
  +8.7970000000000000E+03	  +6.0001788139343262E+00	  +8.9107663345336914E+02	  +4.3707550048828125E+02	  +4.4677444458007812E+02	  +4.3773735046386719E+01	
  +8.7980000000000000E+03	  +6.4775004386901855E+00	  +1.2451206140518188E+03	  +8.2012115478515625E+02	  +4.1634045410156250E+02	  +4.7324684143066406E+01	
  +8.7990000000000000E+03	  +6.4850001335144043E+00	  +5.1601855111122131E+02	  +2.2817546081542969E+02	  +2.8426229858398438E+02	  +5.4687370300292969E+01	
  +8.8000000000000000E+03	  +5.4149999618530273E+00	  +6.3452004790306091E+01	  +0.0000000000000000E+00	  +6.2215003967285156E+01	  +6.2915592193603516E+01	
  +8.8010000000000000E+03	  +4.9000000953674316E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8020000000000000E+03	  +4.6999998092651367E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8030000000000000E+03	  +4.5000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8040000000000000E+03	  +4.3000001907348633E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8050000000000000E+03	  +4.1000003814697266E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8060000000000000E+03	  +3.8999998569488525E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8070000000000000E+03	  +3.7000000476837158E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8080000000000000E+03	  +3.5000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8090000000000000E+03	  +3.3000001907348633E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8100000000000000E+03	  +3.0999999046325684E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8110000000000000E+03	  +2.9000000953674316E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8120000000000000E+03	  +2.7500000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8130000000000000E+03	  +2.5999999046325684E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8140000000000000E+03	  +2.4000000953674316E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8150000000000000E+03	  +2.2500000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8160000000000000E+03	  +2.1000001430511475E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8170000000000000E+03	  +1.8999999761581421E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.5586669921875000E+01	
  +8.8180000000000000E+03	  +2.8629033565521240E+00	  +7.5456719994544983E+02	  +5.7943200683593750E+02	  +1.7161950683593750E+02	  +5.9274578094482422E+01	
  +8.8190000000000000E+03	  +5.2277216911315918E+00	  +1.5705840015411377E+03	  +1.2769029541015625E+03	  +2.8567309570312500E+02	  +5.0504009246826172E+01	
  +8.8200000000000000E+03	  +6.7468752861022949E+00	  +1.5668837203979492E+03	  +1.1071224365234375E+03	  +4.4908401489257812E+02	  +4.4892158508300781E+01	
  +8.8210000000000000E+03	  +7.3208336830139160E+00	  +7.2564016056060791E+02	  +3.1589169311523438E+02	  +4.0310772705078125E+02	  +4.3678516387939453E+01	
  +8.8220000000000000E+03	  +7.4005951881408691E+00	  +1.3399981956481934E+03	  +9.1333300781250000E+02	  +4.1755044555664062E+02	  +4.7204345703125000E+01	
  +8.8230000000000000E+03	  +7.2244048118591309E+00	  +4.9810909676551819E+02	  +2.0611235046386719E+02	  +2.8841595458984375E+02	  +5.4556324005126953E+01	
  +8.8240000000000000E+03	  +6.2166671752929688E+00	  +5.3433252096176147E+01	  +0.0000000000000000E+00	  +5.2391567230224609E+01	  +6.2887912750244141E+01	
  +8.8250000000000000E+03	  +5.6999998092651367E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.8260000000000000E+03	  +5.5000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
